id	polarity	polarity_orig	sentence	polex	polex+targets	polex_span	polex+targets_span	target_spans	split
FT_editorial_macro_31-05-2012 09 00	positive	has_medium_pos_target	The implicit contradiction is that many of the tribunes of the people would nevertheless like companies to make the stimulatory investments seen as inadvisable for the public sector because of its higher indebtedness .	would nevertheless like	would nevertheless like companies to make the stimulatory investments seen as inadvisable for the public sector because of its higher indebtedness	(12, 14)	(12, 32)	[(15, 32)]	train
FT_editorial_macro_31-05-2012 09 01	positive	has_medium_pos_target	The implicit contradiction is that many of the tribunes of the people would nevertheless like companies to make the stimulatory investments seen as inadvisable for the public sector because of its higher indebtedness .	to make	to make the stimulatory investments seen as inadvisable for the public sector because of its higher indebtedness	(16, 17)	(16, 32)	[(18, 32)]	train
FT_editorial_macro_31-05-2012 09 02	negative	has_medium_neg_target	The implicit contradiction is that many of the tribunes of the people would nevertheless like companies to make the stimulatory investments seen as inadvisable for the public sector because of its higher indebtedness .	seen as inadvisable for the public sector	the stimulatory investments seen as inadvisable for the public sector	(21, 27)	(18, 27)	[(18, 20)]	train
FT_editorial_macro_31-05-2012 11 00	negative	has_low_neg_target	Unsurprisingly , company boards remain sceptical that their hurdle rates for investment can be surpassed when spiking yields for Mediterranean government debt point to a long period of turbulence and weak growth .	Unsurprisingly , company boards remain sceptical that	Unsurprisingly , company boards remain sceptical that their hurdle rates for investment can be surpassed when spiking yields for Mediterranean government debt point to a long period of turbulence and weak growth	(0, 6)	(0, 31)	[(7, 31)]	train
FT_editorial_macro_31-05-2012 11 01	positive	has_medium_pos_target	Unsurprisingly , company boards remain sceptical that their hurdle rates for investment can be surpassed when spiking yields for Mediterranean government debt point to a long period of turbulence and weak growth .	can be surpassed	their hurdle rates for investment can be surpassed	(12, 14)	(7, 14)	[(7, 11)]	train
FT_editorial_macro_31-05-2012 11 02	negative	has_medium_neg_target	Unsurprisingly , company boards remain sceptical that their hurdle rates for investment can be surpassed when spiking yields for Mediterranean government debt point to a long period of turbulence and weak growth .	a long period of	a long period of turbulence	(24, 27)	(24, 28)	[(28, 28)]	train
FT_editorial_macro_31-05-2012 11 03	negative	has_medium_neg_target	Unsurprisingly , company boards remain sceptical that their hurdle rates for investment can be surpassed when spiking yields for Mediterranean government debt point to a long period of turbulence and weak growth .	weak	weak growth	(30, 30)	(30, 31)	[(31, 31)]	train
FT_editorial_macro_31-05-2012 12 00	negative	has_low_neg_target	For example , the UK 's Office for Budget Responsibility , an independent forecaster , expects output to grind along at below 3 per cent a year until 2015 .	to grind along at below 3 per cent a year until 2015	output to grind along at below 3 per cent a year until 2015	(17, 28)	(16, 28)	[(16, 16)]	train
FT_editorial_macro_31-05-2012 14 00	positive	has_medium_pos_target	In a recent note , Morgan Stanley , the investment bank , argues that an improvement in the availability of credit is needed to stimulate investment even when company balance sheets are healthy .	an improvement in	an improvement in the availability of credit	(14, 16)	(14, 20)	[(17, 20)]	train
FT_editorial_macro_31-05-2012 14 01	positive	has_medium_pos_target	In a recent note , Morgan Stanley , the investment bank , argues that an improvement in the availability of credit is needed to stimulate investment even when company balance sheets are healthy .	is needed to stimulate investment even when company balance sheets are healthy	is needed to stimulate investment even when company balance sheets are healthy	(21, 32)	(21, 32)	[(25, 25)]	train
FT_editorial_macro_31-05-2012 15 00	negative	has_medium_neg_target	A loans drought weakens collective economic confidence , even among those who do not want to borrow , the argument runs .	drought	loans drought	(2, 2)	(1, 2)	[(1, 1)]	train
FT_editorial_macro_31-05-2012 15 01	negative	has_medium_neg_target	A loans drought weakens collective economic confidence , even among those who do not want to borrow , the argument runs .	weakens collective economic confidence , even among those who do not want to borrow	weakens collective economic confidence , even among those who do not want to borrow	(3, 16)	(3, 16)	[(4, 6)]	train
FT_editorial_macro_31-05-2012 15 02	negative	has_low_neg_target	A loans drought weakens collective economic confidence , even among those who do not want to borrow , the argument runs .	do not want to borrow	loans drought weakens collective economic confidence , even among those who do not want to borrow	(12, 16)	(1, 16)	[(1, 1)]	train
FT_editorial_macro_31-05-2012 16 00	negative	has_low_neg_target	European banks are shrinking their balance sheets as they write down dud loans and seek to meet tougher capital requirements , so no recovery is likely soon .	are shrinking	are shrinking their balance sheets	(2, 3)	(2, 6)	[(4, 6)]	train
FT_editorial_macro_31-05-2012 16 01	positive	has_low_pos_target	European banks are shrinking their balance sheets as they write down dud loans and seek to meet tougher capital requirements , so no recovery is likely soon .	write down	write down dud loans	(9, 10)	(9, 12)	[(11, 12)]	train
FT_editorial_macro_31-05-2012 16 02	negative	has_high_neg_target	European banks are shrinking their balance sheets as they write down dud loans and seek to meet tougher capital requirements , so no recovery is likely soon .	dud	dud loans	(11, 11)	(11, 12)	[(12, 12)]	train
FT_editorial_macro_31-05-2012 16 03	positive	has_low_pos_target	European banks are shrinking their balance sheets as they write down dud loans and seek to meet tougher capital requirements , so no recovery is likely soon .	seek to meet	seek to meet tougher capital requirements	(14, 16)	(14, 19)	[(17, 19)]	train
FT_editorial_macro_31-05-2012 16 04	negative	has_medium_neg_target	European banks are shrinking their balance sheets as they write down dud loans and seek to meet tougher capital requirements , so no recovery is likely soon .	tougher	tougher capital requirements	(17, 17)	(17, 19)	[(18, 19)]	train
FT_editorial_macro_31-05-2012 17 00	positive	has_medium_pos_target	"After the decade hubristically dubbed "" nice "" ( non-inflationary , constantly expanding ) come the years of collective paralysis ."	"hubristically dubbed "" nice "" ( non-inflationary , constantly expanding )"	"the decade hubristically dubbed "" nice "" ( non-inflationary , constantly expanding )"	(3, 13)	(1, 13)	[(1, 2)]	train
FT_editorial_macro_31-05-2012 17 01	negative	has_medium_neg_target	"After the decade hubristically dubbed "" nice "" ( non-inflationary , constantly expanding ) come the years of collective paralysis ."	collective paralysis	the years of collective paralysis	(18, 19)	(15, 19)	[(15, 16)]	train
FT_editorial_macro_31-05-2012 19 00	positive	has_medium_pos_target	Business has at least benefited from a recovery that came in the wake of the credit crunch and was propelled by such engines as restocking and unrepeatably rampant Chinese growth .	has at least benefited from	Business has at least benefited from	(1, 5)	(0, 5)	[(0, 0)]	train
FT_editorial_macro_31-05-2012 19 01	positive	has_low_pos_target	Business has at least benefited from a recovery that came in the wake of the credit crunch and was propelled by such engines as restocking and unrepeatably rampant Chinese growth .	came in the wake of the credit crunch	that came in the wake of the credit crunch	(9, 16)	(8, 16)	[(8, 8)]	train
FT_editorial_macro_31-05-2012 19 02	positive	has_medium_pos_target	Business has at least benefited from a recovery that came in the wake of the credit crunch and was propelled by such engines as restocking and unrepeatably rampant Chinese growth .	was propelled by	that came in the wake of the credit crunch and was propelled by	(18, 20)	(8, 20)	[(8, 8)]	train
FT_editorial_macro_31-05-2012 19 03	positive	has_high_pos_target	Business has at least benefited from a recovery that came in the wake of the credit crunch and was propelled by such engines as restocking and unrepeatably rampant Chinese growth .	unrepeatably rampant	unrepeatably rampant Chinese growth	(26, 27)	(26, 29)	[(28, 29)]	train
FT_editorial_macro_31-05-2012 20 00	positive	has_medium_pos_target	UK corporate earnings before interest , tax , depreciation and amortisation as a percentage of sales rose from 9.9 per cent in 2008 to 15.4 per cent in 2011 , but slipped to 13.5 per cent in the last quarter , according to the S&P Capital IQ database .	rose from 9.9 per cent in 2008 to 15.4 per cent in 2011	UK corporate earnings before interest , tax , depreciation and amortisation as a percentage of sales rose from 9.9 per cent in 2008 to 15.4 per cent in 2011	(16, 28)	(0, 28)	[(0, 15)]	train
FT_editorial_macro_31-05-2012 20 01	negative	has_low_neg_target	UK corporate earnings before interest , tax , depreciation and amortisation as a percentage of sales rose from 9.9 per cent in 2008 to 15.4 per cent in 2011 , but slipped to 13.5 per cent in the last quarter , according to the S&P Capital IQ database .	slipped to 13.5 per cent in the last quarter	UK corporate earnings before interest , tax , depreciation and amortisation as a percentage of sales rose from 9.9 per cent in 2008 to 15.4 per cent in 2011 , but slipped to 13.5 per cent in the last quarter	(31, 39)	(0, 39)	[(0, 15)]	train
FT_editorial_macro_31-05-2012 21 00	negative	has_medium_neg_target	The dread hand of mean reversion weighs heavily on the shoulder of business .	The dread hand of	The dread hand of mean reversion	(0, 3)	(0, 5)	[(4, 5)]	train
FT_editorial_macro_31-05-2012 21 01	negative	has_medium_neg_target	The dread hand of mean reversion weighs heavily on the shoulder of business .	weighs heavily on the shoulder of	The dread hand of mean reversion weighs heavily on the shoulder of	(6, 11)	(0, 11)	[(0, 5)]	train
FT_editorial_macro_31-05-2012 23 00	negative	has_medium_neg_target	For bosses , investment cycles are overlaid by their own career plans .	investment cycles are overlaid by their own career plans	bosses , investment cycles are overlaid by their own career plans	(3, 11)	(1, 11)	[(1, 1)]	train
FT_editorial_macro_31-05-2012 23 01	negative	has_low_neg_target	For bosses , investment cycles are overlaid by their own career plans .	are overlaid by	investment cycles are overlaid by	(5, 7)	(3, 7)	[(3, 4)]	train
FT_editorial_macro_31-05-2012 23 02	positive	has_medium_pos_target	For bosses , investment cycles are overlaid by their own career plans .	are overlaid by	investment cycles are overlaid by their own career plans	(5, 7)	(3, 11)	[(8, 11)]	train
FT_editorial_macro_31-05-2012 24 00	negative	has_medium_neg_target	If you are not intending to stick around - or fear that increasingly assertive investors might provide you with an expedited exit - the temptation is to forget about capital expenditure and bolster payouts to shareholders instead .	fear that	fear that increasingly assertive investors might provide you with an expedited exit	(10, 11)	(10, 21)	[(12, 21)]	train
FT_editorial_macro_31-05-2012 24 01	negative	has_medium_neg_target	If you are not intending to stick around - or fear that increasingly assertive investors might provide you with an expedited exit - the temptation is to forget about capital expenditure and bolster payouts to shareholders instead .	might provide you with an expedited exit	might provide you with an expedited exit	(15, 21)	(15, 21)	[(17, 17)]	train
FT_editorial_macro_31-05-2012 24 02	negative	has_medium_neg_target	If you are not intending to stick around - or fear that increasingly assertive investors might provide you with an expedited exit - the temptation is to forget about capital expenditure and bolster payouts to shareholders instead .	expedited	expedited exit	(20, 20)	(20, 21)	[(21, 21)]	train
FT_editorial_macro_31-05-2012 24 03	negative	has_low_neg_target	If you are not intending to stick around - or fear that increasingly assertive investors might provide you with an expedited exit - the temptation is to forget about capital expenditure and bolster payouts to shareholders instead .	the temptation is to forget about capital expenditure and bolster payouts to	the temptation is to forget about capital expenditure and bolster payouts to	(23, 34)	(23, 34)	[(29, 30)]	train
FT_editorial_macro_31-05-2012 24 04	positive	has_high_pos_target	If you are not intending to stick around - or fear that increasingly assertive investors might provide you with an expedited exit - the temptation is to forget about capital expenditure and bolster payouts to shareholders instead .	the temptation is to forget about capital expenditure and bolster payouts to	the temptation is to forget about capital expenditure and bolster payouts to shareholders	(23, 34)	(23, 35)	[(35, 35)]	train
FT_editorial_macro_31-05-2012 24 05	positive	has_high_pos_target	If you are not intending to stick around - or fear that increasingly assertive investors might provide you with an expedited exit - the temptation is to forget about capital expenditure and bolster payouts to shareholders instead .	bolster	bolster payouts	(32, 32)	(32, 33)	[(33, 33)]	train
FT_editorial_macro_31-05-2012 26 00	negative	has_medium_neg_target	BT Group , the telecommunications company , recently suffered City criticism for raising its final dividend by 12 per cent .	recently suffered City criticism for raising its final dividend by 12 per cent	BT Group , the telecommunications company , recently suffered City criticism for raising its final dividend by 12 per cent	(7, 19)	(0, 19)	[(0, 5)]	train
FT_editorial_macro_31-05-2012 26 01	negative	has_medium_neg_target	BT Group , the telecommunications company , recently suffered City criticism for raising its final dividend by 12 per cent .	criticism for	criticism for raising its final dividend by 12 per cent	(10, 11)	(10, 19)	[(12, 19)]	train
FT_editorial_macro_31-05-2012 26 02	neutral	has_target_with_unknown_polarity	BT Group , the telecommunications company , recently suffered City criticism for raising its final dividend by 12 per cent .	raising	raising its final dividend by 12 per cent	(12, 12)	(12, 19)	[(13, 19)]	train
FT_editorial_macro_31-05-2012 27 00	negative	has_medium_neg_target	This increment was regarded as derisory when a higher total could have been achieved by the simple expedient of spending less on the rollout of faster broadband , a cost that promises to benefit both BT and the broader economy .	was regarded as derisory	This increment was regarded as derisory	(2, 5)	(0, 5)	[(0, 1)]	train
FT_editorial_macro_31-05-2012 27 01	negative	has_medium_neg_target	This increment was regarded as derisory when a higher total could have been achieved by the simple expedient of spending less on the rollout of faster broadband , a cost that promises to benefit both BT and the broader economy .	higher	higher total	(8, 8)	(8, 9)	[(9, 9)]	train
FT_editorial_macro_31-05-2012 27 02	positive	has_medium_pos_target	This increment was regarded as derisory when a higher total could have been achieved by the simple expedient of spending less on the rollout of faster broadband , a cost that promises to benefit both BT and the broader economy .	could have been achieved by	a higher total could have been achieved by	(10, 14)	(7, 14)	[(7, 9)]	train
FT_editorial_macro_31-05-2012 27 03	negative	has_low_neg_target	This increment was regarded as derisory when a higher total could have been achieved by the simple expedient of spending less on the rollout of faster broadband , a cost that promises to benefit both BT and the broader economy .	spending less on	spending less on the rollout of faster broadband	(19, 21)	(19, 26)	[(22, 26)]	train
FT_editorial_macro_31-05-2012 27 04	positive	has_medium_pos_target	This increment was regarded as derisory when a higher total could have been achieved by the simple expedient of spending less on the rollout of faster broadband , a cost that promises to benefit both BT and the broader economy .	faster	faster broadband	(25, 25)	(25, 26)	[(26, 26)]	train
FT_editorial_macro_31-05-2012 27 05	positive	has_medium_pos_target	This increment was regarded as derisory when a higher total could have been achieved by the simple expedient of spending less on the rollout of faster broadband , a cost that promises to benefit both BT and the broader economy .	that promises to benefit both	that promises to benefit both BT and the broader economy	(30, 34)	(30, 39)	[(35, 35), (37, 39)]	train
FT_editorial_macro_31-05-2012 31 00	positive	has_medium_pos_target	Many billiions of the putative wall of cash have been returned to shareholders .	Many billiions of the putative wall of cash have been returned to	Many billiions of the putative wall of cash have been returned to shareholders	(0, 11)	(0, 12)	[(12, 12)]	train
FT_editorial_macro_31-05-2012 32 00	positive	has_medium_pos_target	There is plenty more to come .	There is plenty more to come	There is plenty more to come	(0, 5)	(0, 5)	[]	train
FT_editorial_macro_31-05-2012 33 00	neutral	has_target_with_unknown_polarity	UK listed companies paid gross dividends of £ 68 bn in 2011 , according to Capita Registrars , the UK administrator of company share registers .	paid gross dividends of £ 68 bn in 2011	UK listed companies paid gross dividends of £ 68 bn in 2011	(3, 11)	(0, 11)	[(0, 2)]	train
FT_editorial_macro_31-05-2012 34 00	positive	has_medium_pos_target	This is a 19.4 per cent increase and the highest figure for five years and the company 's forecast for 2012 is £ 76 bn .	is a 19.4 per cent increase and the highest figure for five years	This is a 19.4 per cent increase and the highest figure for five years	(1, 13)	(0, 13)	[(0, 0)]	train
FT_editorial_macro_31-05-2012 34 01	positive	has_medium_pos_target	This is a 19.4 per cent increase and the highest figure for five years and the company 's forecast for 2012 is £ 76 bn .	forecast for 2012 is £ 76 bn	forecast for 2012 is £ 76 bn	(18, 24)	(18, 24)	[(20, 20)]	train
FT_editorial_macro_31-05-2012 36 00	positive	has_medium_pos_target	Shareholders reasonably expect that a one-off gain by a company should mean a one-off payout to them .	reasonably expect that	reasonably expect that a one-off gain by a company should mean a one-off payout to them	(1, 3)	(1, 16)	[(4, 16)]	train
FT_editorial_macro_31-05-2012 36 01	positive	has_medium_pos_target	Shareholders reasonably expect that a one-off gain by a company should mean a one-off payout to them .	gain by	gain by a company	(6, 7)	(6, 9)	[(8, 9)]	train
FT_editorial_macro_31-05-2012 36 02	positive	has_medium_pos_target	Shareholders reasonably expect that a one-off gain by a company should mean a one-off payout to them .	should mean	should mean a one-off payout to them	(10, 11)	(10, 16)	[(12, 16)]	train
FT_editorial_macro_31-05-2012 36 03	positive	has_medium_pos_target	Shareholders reasonably expect that a one-off gain by a company should mean a one-off payout to them .	payout to	payout to them	(14, 15)	(14, 16)	[(16, 16)]	train
FT_editorial_macro_31-05-2012 38 00	negative	has_low_neg_target	Share buybacks have been a sop to investors over the past couple of years , despite the reasonable objection that repurchases represent poor value when made , as is customary , during market rallies .	have been a sop to investors over the past couple of years	Share buybacks have been a sop to investors over the past couple of years	(2, 13)	(0, 13)	[(0, 1)]	train
FT_editorial_macro_31-05-2012 38 01	negative	has_low_neg_target	Share buybacks have been a sop to investors over the past couple of years , despite the reasonable objection that repurchases represent poor value when made , as is customary , during market rallies .	represent poor value when made , as is customary , during market rallies	repurchases represent poor value when made , as is customary , during market rallies	(21, 33)	(20, 33)	[(20, 20)]	train
FT_editorial_macro_31-05-2012 39 00	positive	has_medium_pos_target	Buybacks are automatically earnings enhancing and tax free for continuing investors , who are thus happy to ignore the critics .	are automatically earnings enhancing and tax free for	Buybacks are automatically earnings enhancing and tax free for	(1, 8)	(0, 8)	[(0, 0)]	train
FT_editorial_macro_31-05-2012 39 01	positive	has_high_pos_target	Buybacks are automatically earnings enhancing and tax free for continuing investors , who are thus happy to ignore the critics .	enhancing	earnings enhancing	(4, 4)	(3, 4)	[(3, 3)]	train
FT_editorial_macro_31-05-2012 41 00	neutral	has_target_with_unknown_polarity	Takeovers - another use for corporate cash - have by contrast been notable for their scarcity .	have by contrast been notable for their scarcity	Takeovers - another use for corporate cash - have by contrast been notable for their scarcity	(8, 15)	(0, 15)	[(0, 0)]	train
FT_editorial_macro_31-05-2012 42 00	negative	has_medium_neg_target	Here , as with investment in organic growth , a heightened perception of risk is to blame .	a heightened perception of	a heightened perception of risk	(9, 12)	(9, 13)	[(13, 13)]	train
FT_editorial_macro_31-05-2012 42 01	negative	has_low_neg_target	Here , as with investment in organic growth , a heightened perception of risk is to blame .	is to blame	Here , as with investment in organic growth , a heightened perception of risk is to blame	(14, 16)	(0, 16)	[(4, 7), (0, 0)]	train
FT_editorial_macro_31-05-2012 43 00	positive	has_medium_pos_target	Meanwhile , private equity companies , reliable purchasers of publicly listed companies before the crunch , have suffered the double indignity of tighter credit and a boycott by equity funders of the weakest of their number .	reliable purchasers of publicly listed companies before the crunch	reliable purchasers of publicly listed companies before the crunch	(6, 14)	(6, 14)	[(9, 11)]	train
FT_editorial_macro_31-05-2012 43 01	negative	has_low_neg_target	Meanwhile , private equity companies , reliable purchasers of publicly listed companies before the crunch , have suffered the double indignity of tighter credit and a boycott by equity funders of the weakest of their number .	have suffered the double indignity of tighter credit and a boycott by equity funders of the weakest of their number	private equity companies , reliable purchasers of publicly listed companies before the crunch , have suffered the double indignity of tighter credit and a boycott by equity funders of the weakest of their number	(16, 35)	(2, 35)	[(2, 15)]	train
FT_editorial_macro_31-05-2012 43 02	negative	has_medium_neg_target	Meanwhile , private equity companies , reliable purchasers of publicly listed companies before the crunch , have suffered the double indignity of tighter credit and a boycott by equity funders of the weakest of their number .	tighter	tighter credit	(22, 22)	(22, 23)	[(23, 23)]	train
FT_editorial_macro_31-05-2012 43 03	negative	has_high_neg_target	Meanwhile , private equity companies , reliable purchasers of publicly listed companies before the crunch , have suffered the double indignity of tighter credit and a boycott by equity funders of the weakest of their number .	a boycott by equity funders of	a boycott by equity funders of the weakest of their number	(25, 30)	(25, 35)	[(31, 35)]	train
FT_editorial_macro_31-05-2012 43 04	negative	has_high_neg_target	Meanwhile , private equity companies , reliable purchasers of publicly listed companies before the crunch , have suffered the double indignity of tighter credit and a boycott by equity funders of the weakest of their number .	the weakest of	the weakest of their number	(31, 33)	(31, 35)	[(34, 35)]	train
FT_editorial_macro_31-05-2012 45 00	positive	has_medium_pos_target	Raising top-line growth through mergers and acquisitions is a long-standing , if unspoken , strategy of chief executives hungry for a pay increase .	Raising top-line growth through	Raising top-line growth through	(0, 3)	(0, 3)	[(1, 2)]	train
FT_editorial_macro_31-05-2012 45 01	neutral	has_medium_other_target	Raising top-line growth through mergers and acquisitions is a long-standing , if unspoken , strategy of chief executives hungry for a pay increase .	is a long-standing , if unspoken , strategy of chief executives hungry for a pay increase	Raising top-line growth through mergers and acquisitions is a long-standing , if unspoken , strategy of chief executives hungry for a pay increase	(7, 22)	(0, 22)	[(0, 6)]	train
FT_editorial_macro_31-05-2012 45 02	positive	has_medium_pos_target	Raising top-line growth through mergers and acquisitions is a long-standing , if unspoken , strategy of chief executives hungry for a pay increase .	hungry for	hungry for a pay increase	(18, 19)	(18, 22)	[(20, 22)]	train
FT_editorial_macro_31-05-2012 46 00	negative	has_medium_neg_target	With that avenue blocked , they can at least expect the boost to remuneration that special payouts should deliver via bonus formulae shackled to total returns .	blocked	that avenue blocked	(3, 3)	(1, 3)	[(1, 2)]	train
FT_editorial_macro_31-05-2012 46 01	positive	has_medium_pos_target	With that avenue blocked , they can at least expect the boost to remuneration that special payouts should deliver via bonus formulae shackled to total returns .	can at least expect	can at least expect the boost to remuneration	(6, 9)	(6, 13)	[(10, 13)]	train
FT_editorial_macro_31-05-2012 46 02	positive	has_medium_pos_target	With that avenue blocked , they can at least expect the boost to remuneration that special payouts should deliver via bonus formulae shackled to total returns .	should deliver via bonus formulae shackled to total returns	that special payouts should deliver via bonus formulae shackled to total returns	(17, 25)	(14, 25)	[(14, 14)]	train
FT_editorial_macro_31-05-2012 47 00	positive	has_medium_pos_target	But , as UK shareholders seize back the ownership that was always theirs for the taking , bosses can no longer look forward to the upward rebasing of their pay .	seize back the ownership that was always theirs for the taking	UK shareholders seize back the ownership that was always theirs for the taking	(5, 15)	(3, 15)	[(3, 4)]	train
FT_editorial_macro_31-05-2012 47 01	negative	has_low_neg_target	But , as UK shareholders seize back the ownership that was always theirs for the taking , bosses can no longer look forward to the upward rebasing of their pay .	can no longer look forward to the upward rebasing of their pay	bosses can no longer look forward to the upward rebasing of their pay	(18, 29)	(17, 29)	[(17, 17)]	train
FT_editorial_macro_31-05-2012 48 00	positive	has_low_pos_target	All in all , for both executives and investors , there is just a hint of a doomed golden-age vibe to cash-rich 2012 .	there is just a hint of a doomed golden-age vibe to cash-rich 2012	both executives and investors , there is just a hint of a doomed golden-age vibe to cash-rich 2012	(10, 22)	(5, 22)	[(5, 8)]	train
